City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kuito,-12.3833,16.9333,49.5,41,11,4.0,AO,1627624643
1,naze,28.3667,129.4833,83.32,81,94,1.66,JP,1627624644
2,port-gentil,-0.7193,8.7815,76.96,83,75,10.36,GA,1627624644
3,rikitea,-23.1203,-134.9692,71.46,74,1,6.11,PF,1627624644
4,busselton,-33.65,115.3333,52.09,63,84,23.53,AU,1627624645
5,barga,44.0742,10.4808,74.26,61,0,1.25,IT,1627624645
6,upernavik,72.7868,-56.1549,43.0,90,97,6.08,GL,1627624646
7,havre-saint-pierre,50.2334,-63.5986,55.76,94,90,0.0,CA,1627624646
8,arraial do cabo,-22.9661,-42.0278,62.82,57,98,20.04,BR,1627624646
9,tautira,-17.7333,-149.15,75.22,78,37,6.82,PF,1627624646
10,bathsheba,13.2167,-59.5167,81.21,78,40,16.11,BB,1627624647
11,ormara,25.2088,64.6357,82.87,82,100,14.36,PK,1627624647
12,lakes entrance,-37.8811,147.981,63.18,41,0,2.82,AU,1627624647
13,victoria,22.2855,114.1577,89.96,79,100,1.99,HK,1627624639
14,bambous virieux,-20.3428,57.7575,74.21,64,75,16.11,MU,1627624648
15,port alfred,-33.5906,26.891,56.52,73,20,4.81,ZA,1627624648
16,tiksi,71.6872,128.8694,65.08,37,19,0.65,RU,1627624648
17,hermanus,-34.4187,19.2345,51.91,78,70,5.1,ZA,1627624649
18,port lincoln,-34.7333,135.8667,63.77,66,2,19.3,AU,1627624649
19,kyzyl-suu,42.3414,78.0056,67.55,62,100,7.58,KG,1627624649
20,bluff,-46.6,168.3333,50.81,80,100,2.3,NZ,1627624649
21,karratha,-20.7377,116.8463,78.03,50,1,19.64,AU,1627624650
22,melita,49.2681,-100.9967,66.18,39,74,8.72,CA,1627624650
23,fortuna,40.5982,-124.1573,69.42,94,90,0.0,US,1627624650
24,puerto escondido,15.85,-97.0667,78.76,85,99,4.14,MX,1627624651
25,azanka,58.0401,64.7893,59.58,89,100,6.85,RU,1627624651
26,butaritari,3.0707,172.7902,83.28,74,6,11.21,KI,1627624651
27,birin,26.8865,88.0718,66.49,93,96,5.7,NP,1627624652
28,jamestown,42.097,-79.2353,69.39,97,29,5.06,US,1627624652
29,hovd,48.0056,91.6419,74.84,28,93,6.98,MN,1627624652
30,hervey bay,-25.2986,152.8535,71.71,59,38,13.06,AU,1627624421
31,mahebourg,-20.4081,57.7,74.25,64,75,16.11,MU,1627624652
32,hobart,-42.8794,147.3294,59.25,51,75,5.01,AU,1627624653
33,berlevag,70.8578,29.0864,46.35,76,90,6.91,NO,1627624653
34,husavik,66.0449,-17.3389,49.91,90,87,1.16,IS,1627624653
35,kozhevnikovo,56.2589,83.9714,69.93,56,66,7.4,RU,1627624654
36,cidreira,-30.1811,-50.2056,41.88,80,7,9.1,BR,1627624654
37,avarua,-21.2078,-159.775,69.85,78,41,3.44,CK,1627624654
38,lompoc,34.6391,-120.4579,61.11,93,90,1.01,US,1627624597
39,bredasdorp,-34.5322,20.0403,45.72,93,45,5.75,ZA,1627624655
40,clyde river,70.4692,-68.5914,34.03,100,40,10.36,CA,1627624655
41,vila,42.0304,-8.1588,53.74,92,0,2.26,PT,1627624655
42,atuona,-9.8,-139.0333,77.29,79,99,15.12,PF,1627624359
43,port elizabeth,-33.918,25.5701,46.69,93,0,2.3,ZA,1627624656
44,abyek,36.0667,50.55,69.46,51,4,5.84,IR,1627624656
45,kavaratti,10.5669,72.642,82.54,76,100,14.94,IN,1627624656
46,albany,42.6001,-73.9662,66.38,95,91,7.99,US,1627624656
47,honiara,-9.4333,159.95,82.56,79,36,3.76,SB,1627624657
48,sao felix do xingu,-6.6447,-51.995,68.13,58,24,0.4,BR,1627624657
49,chapais,49.7834,-74.8492,46.18,96,100,9.91,CA,1627624657
50,salinopolis,-0.6136,-47.3561,77.7,86,20,8.1,BR,1627624658
51,mataura,-46.1927,168.8643,50.49,92,100,2.37,NZ,1627624658
52,lavrentiya,65.5833,-171.0,45.84,90,81,5.64,RU,1627624658
53,thompson,55.7435,-97.8558,60.96,77,40,0.0,CA,1627624659
54,aleksandrov gay,50.147,48.5704,88.74,33,41,9.95,RU,1627624659
55,esperance,-33.8667,121.9,55.24,66,98,26.51,AU,1627624659
56,kavieng,-2.5744,150.7967,84.27,71,82,4.43,PG,1627624660
57,torbay,47.6666,-52.7314,57.58,89,1,14.97,CA,1627624660
58,severo-kurilsk,50.6789,156.125,63.21,86,72,7.16,RU,1627624660
59,east london,-33.0153,27.9116,52.74,76,0,8.05,ZA,1627624660
60,kapaa,22.0752,-159.319,82.38,75,36,1.01,US,1627624661
61,college,64.8569,-147.8028,66.52,75,80,0.2,US,1627624661
62,yuanping,38.7153,112.7575,94.39,23,1,6.8,CN,1627624661
63,lorengau,-2.0226,147.2712,84.67,70,42,5.99,PG,1627624661
64,ornskoldsvik,63.2909,18.7153,62.42,100,75,4.61,SE,1627624662
65,ushuaia,-54.8,-68.3,38.86,70,75,13.8,AR,1627624662
66,nikolskoye,59.7035,30.7861,69.69,61,60,8.7,RU,1627624662
67,tuktoyaktuk,69.4541,-133.0374,57.2,94,75,2.3,CA,1627624663
68,eyl,7.9803,49.8164,82.09,56,100,25.77,SO,1627624663
69,tezu,27.9167,96.1667,77.65,99,100,0.51,IN,1627624663
70,lar,26.2039,83.9717,87.44,67,97,14.41,IN,1627624664
71,trofaiach,47.4167,15.0,68.92,92,27,0.94,AT,1627624664
72,omboue,-1.5746,9.2618,74.25,80,22,5.84,GA,1627624664
73,bozoum,6.3193,16.3799,69.76,93,91,2.8,CF,1627624665
74,safaga,26.7292,33.9365,89.55,35,100,13.53,EG,1627624665
75,barrow,71.2906,-156.7887,50.02,87,90,5.75,US,1627624665
76,tahoua,14.8888,5.2692,81.27,64,83,8.14,NE,1627624666
77,oranjemund,-28.55,16.4333,56.43,46,0,5.86,NA,1627624666
78,henties bay,-22.116,14.2845,66.11,35,0,10.67,NA,1627624666
79,richards bay,-28.783,32.0377,62.78,68,30,5.19,ZA,1627624667
80,muroto,33.2833,134.15,86.04,71,11,4.92,JP,1627624667
81,khatanga,71.9667,102.5,90.61,29,4,16.11,RU,1627624667
82,thanh hoa,19.8,105.7667,95.92,53,100,1.36,VN,1627624589
83,mitsamiouli,-11.3847,43.2844,77.32,69,4,9.95,KM,1627624668
84,pisco,-13.7,-76.2167,62.65,82,90,2.3,PE,1627624668
85,cape town,-33.9258,18.4232,49.08,92,0,8.05,ZA,1627624668
86,lasa,46.6166,10.7002,66.02,78,31,1.95,IT,1627624669
87,sovetskiy,61.3614,63.5842,61.11,41,70,5.28,RU,1627624669
88,nishihara,26.1842,127.7558,87.08,74,40,6.91,JP,1627624669
89,buraydah,26.326,43.975,93.65,11,17,11.03,SA,1627624669
90,puerto ayora,-0.7393,-90.3518,70.41,90,14,5.53,EC,1627624670
91,hofn,64.2539,-15.2082,52.0,91,92,6.67,IS,1627624670
92,angoche,-16.2325,39.9086,75.02,62,35,12.24,MZ,1627624670
93,aswan,24.0934,32.907,87.1,21,0,12.66,EG,1627624671
94,pierre,44.3683,-100.351,72.99,75,64,5.01,US,1627624671
95,yellowknife,62.456,-114.3525,64.29,67,75,4.61,CA,1627624671
96,lichinga,-13.3128,35.2406,50.09,87,20,5.75,MZ,1627624672
97,vila velha,-20.3297,-40.2925,62.55,63,75,12.66,BR,1627624672
98,punta arenas,-53.15,-70.9167,35.71,87,75,18.41,CL,1627624672
99,bandarbeyla,9.4942,50.8122,82.76,55,100,32.79,SO,1627624672
100,iberia,29.9502,-91.7507,77.05,80,96,1.19,US,1627624673
101,sao filipe,14.8961,-24.4956,74.05,81,36,5.23,CV,1627624673
102,bilibino,68.0546,166.4372,41.74,52,61,11.12,RU,1627624673
103,iqaluit,63.7506,-68.5145,47.93,87,75,4.0,CA,1627624674
104,saint george,37.1041,-113.5841,74.35,51,83,3.27,US,1627624674
105,new norfolk,-42.7826,147.0587,58.91,55,95,4.0,AU,1627624674
106,castro,-24.7911,-50.0119,31.06,70,12,2.57,BR,1627624675
107,bengkulu,-3.8004,102.2655,85.03,68,24,12.88,ID,1627624675
108,vardo,70.3705,31.1107,46.38,81,75,5.75,NO,1627624675
109,thunder bay,48.4001,-89.3168,54.28,82,1,4.61,CA,1627624385
110,broome,42.2506,-75.833,66.0,96,40,1.01,US,1627624676
111,cabo san lucas,22.8909,-109.9124,84.51,67,2,3.0,MX,1627624676
112,padang,-0.9492,100.3543,87.85,63,100,5.53,ID,1627624676
113,lebu,-37.6167,-73.65,47.93,86,5,6.71,CL,1627624676
114,cherskiy,68.75,161.3,38.19,64,98,19.64,RU,1627624677
115,hilo,19.7297,-155.09,78.53,85,90,3.44,US,1627624432
116,broken hill,-31.95,141.4333,69.51,26,40,20.71,AU,1627624677
117,knysna,-34.0363,23.0471,52.18,66,54,3.24,ZA,1627624677
118,moree,-29.4667,149.85,66.22,32,0,12.66,AU,1627624678
119,meulaboh,4.1363,96.1285,85.21,67,100,6.35,ID,1627624678
120,san quintin,30.4833,-115.95,68.59,86,56,12.01,MX,1627624678
121,tasiilaq,65.6145,-37.6368,43.0,76,26,3.94,GL,1627624679
122,loikaw,19.6742,97.2094,81.95,66,99,4.27,MM,1627624679
123,barcelos,41.5388,-8.6151,60.48,85,0,3.36,PT,1627624679
124,jibuti,11.5,42.5,79.74,59,71,7.96,DJ,1627624680
125,zhigansk,66.7697,123.3711,72.81,32,3,3.67,RU,1627624680
126,svetlogorsk,52.6333,29.7333,70.03,75,6,9.26,BY,1627624680
127,ostrovnoy,68.0531,39.5131,48.63,73,14,6.35,RU,1627624680
128,talnakh,69.4865,88.3972,60.8,82,100,6.51,RU,1627624681
129,ribeira grande,38.5167,-28.7,70.41,85,9,7.2,PT,1627624681
130,tual,-5.6667,132.75,80.56,79,96,13.35,ID,1627624681
